Indicator type,Indicator,Description
IPv4,43.153.131.68,
IPv4,36.133.170.211,
IPv4,218.92.0.225,
IPv4,40.115.18.231,
IPv4,45.116.77.25,
IPv4,104.218.166.193,
IPv4,54.36.8.139,
IPv4,128.199.148.185,
IPv4,218.92.0.220,
IPv4,218.92.0.220,
IPv4,218.92.0.228,
IPv4,218.92.0.228,
IPv4,193.32.162.74,
IPv4,103.59.95.142,
IPv4,160.250.181.24,
IPv4,24.199.102.230,
IPv4,167.71.193.14,
IPv4,112.161.86.234,
IPv4,218.92.0.103,
IPv4,218.92.0.216,
IPv4,80.94.95.112,
IPv4,103.31.39.152,
IPv4,41.221.199.189,
IPv4,101.126.95.220,
IPv4,80.94.95.112,
IPv4,183.131.86.209,
IPv4,103.165.218.190,
IPv4,218.92.0.216,
IPv4,92.118.39.75,
IPv4,80.94.95.112,
IPv4,194.87.252.176,
IPv4,45.45.237.88,
IPv4,46.101.244.233,
IPv4,174.138.5.52,
IPv4,152.42.225.137,
IPv4,174.138.5.52,
IPv4,47.234.143.55,
IPv4,58.27.95.2,
IPv4,218.92.0.232,
IPv4,95.90.12.182,
IPv4,103.145.145.75,
IPv4,203.198.116.102,
IPv4,218.78.24.117,
IPv4,193.32.162.137,
IPv4,203.145.34.132,
IPv4,218.92.0.220,
IPv4,61.76.112.4,
IPv4,210.79.191.155,
IPv4,218.92.0.134,
IPv4,45.148.10.47,
IPv4,218.92.0.134,
IPv4,27.254.137.144,
IPv4,60.243.50.104,
IPv4,150.139.201.247,
IPv4,139.59.90.176,
IPv4,218.92.0.134,
IPv4,218.92.0.225,
IPv4,107.173.37.6,
IPv4,36.138.201.196,
IPv4,143.198.96.172,
IPv4,120.89.98.69,
IPv4,81.133.106.57,
IPv4,218.92.0.134,
IPv4,218.92.0.134,
IPv4,209.38.228.147,
IPv4,54.37.154.87,
IPv4,218.92.0.134,
IPv4,164.90.171.211,
IPv4,47.153.83.39,
IPv4,218.92.0.217,
IPv4,218.92.0.231,
IPv4,218.92.0.217,
IPv4,104.194.75.169,
IPv4,89.251.25.207,
IPv4,218.92.0.134,
IPv4,218.92.0.134,
IPv4,64.227.177.112,
IPv4,218.92.0.221,
IPv4,159.203.2.69,
IPv4,68.183.6.206,
IPv4,103.187.147.227,
IPv4,202.70.82.95,
IPv4,167.99.50.53,
IPv4,43.162.120.173,
IPv4,178.236.246.37,
IPv4,209.38.111.217,
IPv4,36.97.126.35,
IPv4,92.118.39.76,
